prototype_position,centroid_label,prototype_label,file_name,emotion,train_embedding_position,dataset_metadata_index,centroid_similarity
0,0,0,1011_IWL_ANG_XX.wav,anger,607,847,0.9900773763656616
1,0,0,1079_ITH_ANG_XX.wav,anger,4490,6404,0.9900282025337219
2,0,0,1002_WSI_ANG_XX.wav,anger,105,157,0.9952743649482727
3,1,1,1059_WSI_DIS_XX.wav,disgust,3398,4814,0.98147052526474
4,1,1,1010_DFA_DIS_XX.wav,disgust,522,726,0.9832133054733276
5,1,1,1039_IWL_DIS_XX.wav,disgust,2225,3138,0.9894953966140747
6,2,2,1012_IEO_FEA_LO.wav,fear,645,902,0.9858808517456055
7,2,2,1076_TAI_FEA_XX.wav,fear,4341,6190,0.9891821146011353
8,2,2,1014_ITS_FEA_XX.wav,fear,776,1089,0.9905776977539062
9,3,3,1046_ITH_HAP_XX.wav,happy,2615,3702,0.9940999150276184
10,3,3,1019_IWL_HAP_XX.wav,happy,1057,1500,0.988566517829895
11,3,3,1047_ITS_HAP_XX.wav,happy,2678,3790,0.9915984272956848
12,4,4,1063_IEO_NEU_XX.wav,neutral,3585,5083,0.9909508228302002
13,4,4,1007_IWW_NEU_XX.wav,neutral,388,541,0.9903944730758667
14,4,4,1040_WSI_NEU_XX.wav,neutral,2312,3259,0.9926793575286865
15,5,5,1058_ITH_SAD_XX.wav,sad,3308,4688,0.9839716553688049
16,5,5,1076_TAI_SAD_XX.wav,sad,4343,6193,0.9842633605003357
17,5,5,1030_IWW_SAD_XX.wav,sad,1706,2410,0.9937922954559326
