prototype_position,centroid_label,prototype_label,file_name,emotion,train_embedding_position,dataset_metadata_index,centroid_similarity
0,0,0,1014_IWL_ANG_XX.wav,anger,683,1093,0.9904669523239136
1,0,0,1026_IOM_ANG_XX.wav,anger,1403,2053,0.995036780834198
2,1,1,1018_DFA_DIS_XX.wav,disgust,890,1382,0.9866610765457153
3,1,1,1079_DFA_DIS_XX.wav,disgust,4251,6377,0.9898785352706909
4,2,2,1018_IEO_FEA_LO.wav,fear,902,1394,0.9898763298988342
5,2,2,1010_IWL_FEA_XX.wav,fear,603,767,0.9887072443962097
6,3,3,1049_ITH_HAP_XX.wav,happy,2642,3948,0.9843566417694092
7,3,3,1080_IWL_HAP_XX.wav,happy,4375,6501,0.9898094534873962
8,4,4,1025_MTI_NEU_XX.wav,neutral,1355,2005,0.990260124206543
9,4,4,1070_IOM_NEU_XX.wav,neutral,3703,5665,0.9914337396621704
10,5,5,1052_WSI_SAD_XX.wav,sad,2856,4244,0.991355836391449
11,5,5,1042_ITH_SAD_XX.wav,sad,2152,3376,0.9872462153434753
