prototype_position,centroid_label,prototype_label,file_name,emotion,train_embedding_position,dataset_metadata_index,centroid_similarity
0,0,0,Session4_00761.wav,angry,2112,3342,0.9933886528015137
1,0,0,Session4_00098.wav,angry,2576,4102,0.9960543513298035
2,0,0,Session5_00505.wav,angry,1440,2298,0.9419469237327576
3,0,0,Session4_00499.wav,angry,1560,2473,0.9950276017189026
4,1,1,Session4_00819.wav,happy,3152,5056,0.9945999979972839
5,1,1,Session3_00548.wav,happy,2605,4146,0.9858775734901428
6,1,1,Session3_00544.wav,happy,2673,4248,0.9927961230278015
7,1,1,Session3_00552.wav,happy,2722,4340,0.9907951354980469
8,2,2,Session4_00158.wav,neutral,3285,5277,0.9935526847839355
9,2,2,Session5_00571.wav,neutral,230,371,0.9838200211524963
10,2,2,Session5_00585.wav,neutral,2922,4658,0.9945772290229797
11,2,2,Session3_00588.wav,neutral,3203,5140,0.9918975234031677
12,3,3,Session3_00660.wav,sad,3307,5315,0.9924529790878296
13,3,3,Session5_00484.wav,sad,1701,2696,0.984717071056366
14,3,3,Session5_00509.wav,sad,1692,2679,0.9268124103546143
15,3,3,Session3_00716.wav,sad,2281,3635,0.9905092716217041
